"turn_id","transcript_id","utterance_id","turn_index","mi_quality","context_prev_assistant","patient_turn","engine_label","delivery_label","flag_ambiguous","notes"
"04d8a50d1dbc","1","3","1","high","Okay. Uh, thanks for filling this out. Uh, looks like you use alcohol two to three days a week?","Yeah, but only on the weekend.","","","",""
"1fb8cf3770cd","1","5","2","high","Okay. And then when you do drink alcohol, you typically have five or six drinks.","Yeah. Uh, maybe a couple more.","","","",""
"be998ad25435","1","7","3","high","Okay. Well, the reason why I like to talk to patients when they fill out this form is because sometimes, uh, alcohol use can impact our health. Um, and my role is to be helpful. I can share some information with you about alcohol use, um, but I don't tell anyone what to do. It's always up to the patient to decide what they wanna do about their drinking. Um, so is it okay if we talk a little bit more about your alcohol use?","So, uh, are you saying I drink too much?","","","",""
"c03d50864d9b","1","9","4","high","How would you define drinking too much?","Well, I-- If-if I was getting fallen down drunk or if I drink every night. Um, it's not like I get sloppy drunk or anything.","","","",""
"73b05b287845","1","11","5","high","Mm-hmm. Well, in this country, the guidelines are men can drink up to 14 drinks a week or up to four on one occasion and still be low risk.","So I'm already at the week limit. And then I have four beers a night. Are you sure?","","","",""
"97ad28934ede","1","13","6","high","So a limit of four a night doesn't feel right to you?","I have five or six beers when I go out with friends to a bar. It's not a problem for me.","","","",""
"3f24650884b3","1","15","7","high","You're not alone in feeling that way. Uh, binge drinking can feel normal to some people.","Well, I don't consider my drinking binge drinking.","","","",""
"b7b569a5196a","1","17","8","high","Why is that?","I don't chug a lot of beers in a row. I have about five or six beers throughout the entire evening.","","","",""
"7a851113094c","1","19","9","high","Mm-hmm. Well, technically, we define binge drinking as having more than four drinks on one occasion.","But I'm healthy. What health problems are you talking about?","","","",""
"ab70d9afdf30","1","21","10","high","Well, uh, we know if someone binge drinks over time, there's kind of two categories of risk. There's the short-term risk where someone who binge drinks is more likely to fall down, hurt themselves through an accident, uh, they're more likely to drive while under the influence. Uh, but over the long term, binge drinking can also, uh, cause things like heart disease, uh, different kinds of cancer, liver problems obviously, and then even mental health issues like depression and anxiety are more likely to happen.","Well, I didn't know about those things.","","","",""
"77da06ab0a77","1","23","11","high","Can I ask you, uh, what do you like about drinking alcohol?","Well, I-I like beer. I like the way it tastes, I like the way it makes me feel. Uh, like when I'm around friends and it's not a problem for me.","","","",""
"0e4afc09c10e","1","25","12","high","And so what about your drinking do you not like or is there anything that worries you about your drinking?","Well, that was fine until I came here, uh, but now that I know about the health risk, uh, I have something I gotta think about.","","","",""
"0b3e95bd8af2","1","29","13","high","So weighing those things, you know, what you like about your drinking, what you don't like about your drinking, uh, where do you wanna go from here? Uh, what would you like to change about your drinking?","Hmm, I'm not sure. Uh, something I have to think about.","","","",""
"8e9f80dad6a8","1","31","14","high","Well, how about hypothetically if I were to ask you, how would your drinking have to impact your life in order for you to be ready to change your drinking?","Uh, I don't know. Maybe if I got sick or something, uh, maybe I'd wanna change things then.","","","",""
"fa86cd644e0f","4","3","1","high","It's been a while.","Yeah, it's been a while.","","","",""
"e320865a42f0","4","11","2","high","What made you decide to get-get a lip piercing?","Um, I don't know. I just felt like something different. I was getting bored and, I don't know, it's kind of nice to stand out a bit, I guess.","","","",""
"8b1336b7d492","4","17","3","high","Um, I guess, you know, as your dentist, I have- I have a couple of concerns about lip piercings, oral piercings. I wonder what have you heard about how having an oral piercing can affect your-your teeth or your gums?","I don't actually, really. I-I mean, I'm sure that it might push on my gums or teeth, but I don't know how much it will impact that much. I've pretty good teeth. I don't know.","","","",""
"d291b3682d5b","4","19","4","high","Mm-hmm.","I don't really know [unintelligible 00:01:04]","","","",""
"a714cb8cf8e6","4","29","5","high","-just from contact with it. I wonder what are your thoughts about that?","Well, I definitely don't want it mess with my teeth. I know I kinda already have low gums to begin with, like you've been telling me for a while, and I have to flo-floss, which I-","","","",""
"2d208446245b","4","31","6","high","Yes, flossing.","Um, which I'm not doing but, um, yeah, I guess, I don't really wanna wreck my teeth 'cause-- Yeah, I didn't really notice any of the chipping.","","","",""
"e16ce392af5b","4","33","7","high","There's nothing yet.","I guess I'm not paying attention to it.","","","",""
"c4a87791b403","4","37","8","high","Um, what would- what would make you decide, ""This is something that's not right for me?""","I don't know, I guess if I started to see that it was actually causing a problem, then I might.","","","",""
"8bc9793b0f52","4","39","9","high","Mm-hmm.","But for now-- I mean, I just got and-","","","",""
"6b0782723636","4","41","10","high","Mm-hmm.","-and it looks pretty cool.","","","",""
"39537a60ac4a","4","43","11","high","I guess that it does.","Yeah, I kinda-- Yeah.","","","",""
"ac3f94ab4b01","4","49","12","high","-the effect? Okay.","Yeah. I guess if I really start to see a problem-- I mean, this might not last forever, but my teeth, I'm hoping-","","","",""
"7e70ab53b549","4","51","13","high","Mm-hmm.","-will kind of stick [unintelligible 00:02:30]","","","",""
"7411b62e6b5d","22","1","1","high","You did your values clarification handout, and that was part of what I wanted to go over with you today. I wanted to hear about your values and just talk to you a little bit more about that. Do-do you wanna tell me what some of your top five values are?","Yes, um, my top value is family happiness, um, that's-","","","",""
"120be261d3ef","22","3","2","high","That's number one?","-that's number one to me, especially now. I usually do this values clarification sheet, like, every two to three months-","","","",""
"f2f91e33f2da","22","5","3","high","Mm-hmm.","-just to see if anything changed, and every time it has changed.","","","",""
"c55f4ef4d983","22","9","4","high","Family happiness?","Yes, it's the most important because it's a little lacking, so I know that that's something that is very important to me.","","","",""
"20a4bde87d0f","22","11","5","high","Okay. Would you like to talk more about that?","Yeah. Um, I can just pretty much say that my family hasn't been on one accord, so, like, if-- I feel like if we all just can fall in the middle, which I know everybody doesn't really follow that track. So, um, I think for my part, 'cause I can't change anybody, is to be more present and, um, just listen and understand my family members, and-and be able to voice what I feel as far as how important family happiness-happiness is to me.","","","",""
"c1c4540401be","22","17","6","high","And you want them to know?","And I want them to know how important it is to me, especially now, and I do this, like I said, every two to three months just to see where I am.","","","",""
"2a402e62e466","22","19","7","high","Uh-huh.","And, um, these definitely are different from-","","","",""
