"transcript_id","mi_quality","topic","batch","n_client_turns","n_labelable","video_url"
"9","low","reducing alcohol consumption","01","13","8","https://youtu.be/NAHJRdKY4dI"
"37","high","reducing violence","01","20","13","https://www.youtube.com/watch?v=IqtaW2ufbcw"
"64","high","reducing drug use","01","132","75","https://www.youtube.com/watch?v=uH38Bxe3Lzw"
"74","low","better oral health","01","19","10","https://www.youtube.com/watch?v=AJPvYSEn1VE"
"35","high","more exercise / increasing activity; weight loss","02","17","13","https://www.youtube.com/watch?v=g7TG9J0E0eU"
"44","low","reducing alcohol consumption","02","86","63","https://www.youtube.com/watch?v=Ocp_1PtZupg"
"76","high","unidentifiable","02","35","23","https://www.youtube.com/watch?v=TVlWvUt4EcM&list=PL08E228806AE7CB30&index=6&t=0s"
"118","low","diagnosis","02","10","8","https://www.youtube.com/watch?v=mbheToXlm2Y"
"1","high","reducing alcohol consumption","03","18","14","https://www.youtube.com/watch?v=g2v2sfwfQ84"
"4","high","better oral health","03","29","13","https://www.youtube.com/watch?v=HMS6acj3Fjw"
"22","high","supporting client to live in more alignment with her values","03","66","45","https://www.youtube.com/watch?v=8m5-MXX372w&list=PL08E228806AE7CB30&index=8&t=0s"
"112","high","reducing alcohol consumption","03","32","27","https://www.youtube.com/watch?v=GCoCq2o6Ye8"
"122","high","unidentifiable","03","13","8","https://www.youtube.com/watch?v=K-zJme3RTzM"
"14","high","weight loss","04","24","19","https://www.youtube.com/watch?v=Cfl4d-qQ-co"
"17","low","reducing alcohol consumption","04","15","9","https://youtu.be/xB67CD9zxG4"
"58","high","more exercise / increasing activity","04","50","40","https://www.youtube.com/watch?v=KqgZpg6ooyA"
"119","high","managing life","04","43","31","https://www.youtube.com/watch?v=A-3wZrLkZpE"
"6","high","asthma management","05","26","19","https://www.youtube.com/watch?v=klnHJ4coG8o"
"45","high","compliance with rules","05","26","11","https://www.youtube.com/watch?v=mxyhAK5ae0o"
"53","low","reducing alcohol consumption","05","54","33","https://www.youtube.com/watch?v=Q9astgtdDW4"
"60","high","smoking cessation ","05","48","34","https://www.youtube.com/watch?v=3hW-7X96zQI"
"106","low","smoking cessation","05","11","9","https://www.youtube.com/watch?v=80XyNE89eCs"
