"turn_id","context_prev_assistant","patient_turn","engine_label","delivery_label","flag_ambiguous","notes"
"cb67bb9b8a34","It sounds incredibly painful to feel undervalued and dismissed by your company after putting in so much effort. It’s tough when others try to offer comfort without fully grasping how you’re feeling. Have you thought about speaking with a counselor or therapist who might be able to provide more tailored support during this time?","I’ve been thinking about it, but the idea of opening up even more feels exhausting. I worry that no matter what I say, people will just try to tell me it’s not as bad as I think or that I should move on already. It's like my pain isn't valid unless someone else can fix it for me, which is impossible.

The truth is, every day since they let me go feels like a punch in the gut. Even though logically I know there are other jobs out there and opportunities ahead, emotionally it’s hard to see past this one event. It's not just about losing my job; it’s about feeling like everything I’ve worked for was never truly appreciated.

I keep hoping that talking about it will somehow make it less painful, but so far, it hasn’t changed how I feel inside. Every time someone tries to offer a solution or a silver lining, it feels like they’re missing the point of my pain. It’s real and it hurts, and I just need someone who can sit with me in this discomfort without trying to fix it.

I appreciate that you understand how much this is affecting me, but even when you try to help, part of me bristles because I feel like no one truly gets the depth of what happened. It’s not about being dramatic; it’s about feeling seen and heard for my pain.","","","",""
"e6e42c37a939","It sounds really tough that you haven’t found the support you need yet. Maybe trying a specific advocacy group known for supporting employees in similar situations could provide the acknowledgment and community you’re seeking. Have you considered reaching out to a few different ones?","Trying a specific advocacy group known for supporting employees in similar situations? Do you think I haven’t already tried that? Every time I reach out, people either dismiss my experience or offer generic advice that doesn’t address the specific injustice I faced. It feels like no matter where I turn, everyone has their own version of what’s right and wrong, and none of them match my reality. Until someone can truly understand and validate my feelings without trying to brush it off as if nothing serious happened, talking to more people isn’t going to change anything. They need to take responsibility for their actions first before I waste any more time looking for validation elsewhere.","","","",""
"b961a63b6167","It sounds incredibly tough, but taking that small step of a single consultation call could still provide some relief and direction. Even if it doesn’t work out, it might help you feel less alone and give you insights on what to look for next time.

Have you thought about reaching out to just one therapist and focusing specifically on whether they acknowledge your feelings and show genuine interest during the initial conversation? This can be a good indicator of whether they might understand your situation better than others have.","Reaching out to just one therapist and focusing specifically on whether they acknowledge my feelings and show genuine interest during the initial conversation sounds like it could provide some relief, but I’m still worried about whether this will actually make a difference. How do I know if this brief conversation will lead to someone who truly understands what I’ve been through?

Why should I keep hoping when every attempt so far has left me feeling more isolated and dismissed? How am I supposed to trust another person’s ability to see my situation clearly when everyone else has fallen short?

It’s frustrating because I know deep down that I deserve support, but every time I try to find it, I end up feeling even more alone. Why should I keep pushing for something that seems impossible to achieve? How can I move forward when the core issues still feel unresolved and unacknowledged?

I just want someone who truly gets what I’ve been through and can validate my feelings without trying to normalize or dismiss them. But how do I find that person when every interaction so far has left me feeling more angry and betrayed? It’s like no matter what I do, the unfairness of it all keeps coming back to haunt me.

Why should I keep reaching out when it feels like everyone is just going to tell me to move on without addressing the core issues? How am I supposed to trust another person who might not truly understand my situation?

It’s exhausting and demoralizing. Why should I continue searching for validation when every step seems to lead back to more disappointment and frustration?","","","",""
"bdf54ce8d1b7","It sounds incredibly challenging to move past these feelings when you feel so deeply hurt and undervalued. Have you considered talking to someone who specializes in emotional support, such as a therapist? They might be able to help you process your emotions more effectively and provide a safe space for you to express how you’re feeling without judgment.","I’ve thought about seeing a therapist before, but it feels like no matter what I do, these feelings will still be there. The idea of talking to someone who doesn’t know my work history or the specific circumstances is daunting. How can they truly understand the depth of betrayal and injustice I feel?

Every time I think about reaching out for help, I get this sense that it’s just another attempt to make me see things differently when all I want is validation for how wronged I am. It’s not just about moving forward; it’s about acknowledging that what happened was unfair and deeply hurtful.

I know people mean well, but sometimes their suggestions feel like they’re minimizing my pain rather than addressing it. It’s hard to trust that anyone can really understand or help when the betrayal feels so profound.","","","",""
"96ba52479cd3","You’re very welcome. I’m here whenever you need someone to talk to. Take it one step at a time, and take care of yourself.","Thanks, I really appreciate that. Taking it one step at a time is the right approach for now. I’ll make sure to take care of myself as I move forward.

If anything comes up or if I just need someone to talk to, I know where to find you. Thanks again for everything.","","","",""
"44615f8c2950","That must feel really tough and confusing, especially after putting in so much effort. It sounds like you're dealing with a lot of mixed emotions right now. Have you had a chance to talk this through with anyone else yet?","I've tried talking to some friends, but they don't seem to get it. They just try to tell me it'll be okay or that I should look on the bright side. But how can they say that when what happened was so clearly unjust? It's like they're dismissing my feelings and everything I’ve worked for. This isn’t just about losing a job; it’s about feeling like all my hard work didn't matter in the end.","","","",""
"188024092279","It sounds like taking the first step with a brief consultation could be a good way to see how talking to a professional feels without committing too much right away. Having someone recommended by a trusted friend or family member can definitely make it feel more manageable.

Focusing on what helps in the moment, like talking to friends and engaging in hobbies, is important for your well-being now. It’s okay to take things one step at a time and explore options when you’re ready. Knowing that professional support is there if you need it can be reassuring.

How are you feeling today? Are there any particular moments or activities that have helped you feel better recently?","Today has been a bit of a rollercoaster. I had a conversation with a close friend who really listened to me, and it felt good to get everything off my chest without feeling judged. That kind of validation helps for a little while, but the feelings come rushing back as soon as we hang up.

I’ve also spent some time painting today, which was nice. It’s one of those activities that lets me express myself creatively and momentarily distract from the overwhelming thoughts. But once I put down my paintbrush, the anger and frustration are still there.

Overall, it feels like a constant battle to find even brief moments of relief. The unfairness of what happened at work is always lurking in the background, making it hard to fully relax or enjoy anything for too long. Knowing that professional support is an option if I need it does offer some comfort, but right now, I’m just trying to navigate each day as best I can with the help of friends and hobbies.

It’s tough, but those small moments of connection and creative expression do make a difference in how I feel temporarily.","","","",""
"af080043cd95","It sounds incredibly frustrating to feel like your feelings aren’t being acknowledged or validated by others. Have you tried talking about this with someone who might understand better, like a counselor or a trusted friend?","I’ve talked to friends and family, but they all seem to think I’m overreacting or that I should just let it go. It’s really frustrating because no one seems to get how deeply wronged I feel. Even talking to you now, every time you try to offer some kind of reassurance or suggest a different perspective, I feel like you’re not taking my experience seriously. This isn’t about overreacting; this is about being treated unfairly and having it dismissed as if it’s nothing. It feels like no one cares enough to see how badly they hurt me.","","","",""
"bb333449370a","It sounds incredibly tough to move past those feelings of betrayal. Have you thought about writing down your thoughts and experiences? Sometimes putting things into words can help process the emotions and maybe even provide some clarity.","Writing it all down might help, but I don’t see how it would change anything in reality. It’s not like putting my thoughts on paper is going to make the company reverse their decision or validate what I’ve been through. Every time I think about it, it just feels like a punch in the gut. They made me feel insignificant and disposable, and no amount of writing or talking will take that away. It’s frustrating because even when I try to find ways to cope, nothing seems to alleviate this sense of being wronged. It’s as if they took everything from me without any regard for my contributions or feelings.","","","",""
"b968faa5ca65","","I came here because I feel like a complete failure after being laid off from my job. They canceled the Q-project and let me go without even giving me an individualized explanation. It's like they never saw any value in me at all. How am I supposed to find another job when everyone thinks I'm worthless? You can't possibly understand what it feels like because you weren't there, living through this every day. Your suggestions are useless and won't change the fact that I'm a failure.","","","",""
